state_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_totalstate_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total24,GUJARAT,491,Valsad,Tahsil-ValsadVillage-Malvan,18,9,15,7,5,54,22,7,34,11,11,0,85,139
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Heniskot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Safi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Chulichan,0,0,0,0,0,0,0,0,9,0,0,0,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Silmo,51,8,0,0,0,59,28,44,98,62,34,0,266,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Karamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Shargol,29,0,0,0,0,29,8,33,78,4,6,0,129,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Malbekh,18,9,0,0,0,27,7,58,99,44,2,3,213,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Wakhade,35,1,0,0,0,36,51,39,122,24,0,0,236,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Kuksho,1,0,0,0,0,1,9,0,23,0,0,0,32,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-KargilVillage-Samrah,11,7,0,0,0,18,16,13,69,27,0,0,125,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
